Date	Societe	Centre de couts	Nature comptable	Libelle de l'operation	Montant
janv.-23	Blue	Achats	641	Depenses Achats Bon n 44927641	432000
janv.-23	Blue	Labo/R&D	641	Depenses Labo/R&D Bon n 44927641	720000
janv.-23	Blue	Logistique	641	Depenses Logistique Bon n 44927641	144000
janv.-23	Blue	Production	641	Depenses Production Bon n 44927641	360000
janv.-23	Blue	SAV	641	Depenses SAV Bon n 44927641	15840
févr.-23	Blue	Achats	641	Depenses Achats Bon n 44958641	432000
févr.-23	Blue	Labo/R&D	641	Depenses Labo/R&D Bon n 44958641	720000
févr.-23	Blue	Logistique	641	Depenses Logistique Bon n 44958641	144000
févr.-23	Blue	Production	641	Depenses Production Bon n 44958641	360000
févr.-23	Blue	SAV	641	Depenses SAV Bon n 44958641	15840
mars-23	Blue	Achats	641	Depenses Achats Bon n 44986641	432000
mars-23	Blue	Labo/R&D	641	Depenses Labo/R&D Bon n 44986641	720000
mars-23	Blue	Logistique	641	Depenses Logistique Bon n 44986641	144000
mars-23	Blue	Production	641	Depenses Production Bon n 44986641	360000
mars-23	Blue	SAV	641	Depenses SAV Bon n 44986641	15840
avr.-23	Blue	Achats	641	Depenses Achats Bon n 45017641	432000
avr.-23	Blue	Labo/R&D	641	Depenses Labo/R&D Bon n 45017641	720000
avr.-23	Blue	Logistique	641	Depenses Logistique Bon n 45017641	144000
avr.-23	Blue	Production	641	Depenses Production Bon n 45017641	360000
avr.-23	Blue	SAV	641	Depenses SAV Bon n 45017641	15840
mai-23	Blue	Achats	641	Depenses Achats Bon n 45047641	432000
mai-23	Blue	Labo/R&D	641	Depenses Labo/R&D Bon n 45047641	720000
mai-23	Blue	Logistique	641	Depenses Logistique Bon n 45047641	144000
mai-23	Blue	Production	641	Depenses Production Bon n 45047641	360000
mai-23	Blue	SAV	641	Depenses SAV Bon n 45047641	15840
juin-23	Blue	Achats	641	Depenses Achats Bon n 45078641	432000
juin-23	Blue	Labo/R&D	641	Depenses Labo/R&D Bon n 45078641	720000
juin-23	Blue	Logistique	641	Depenses Logistique Bon n 45078641	144000
juin-23	Blue	Production	641	Depenses Production Bon n 45078641	360000
juin-23	Blue	SAV	641	Depenses SAV Bon n 45078641	15840
juil.-23	Blue	Achats	641	Depenses Achats Bon n 45108641	432000
juil.-23	Blue	Labo/R&D	641	Depenses Labo/R&D Bon n 45108641	720000
juil.-23	Blue	Logistique	641	Depenses Logistique Bon n 45108641	144000
juil.-23	Blue	Production	641	Depenses Production Bon n 45108641	360000
juil.-23	Blue	SAV	641	Depenses SAV Bon n 45108641	15840
août-23	Blue	Achats	641	Depenses Achats Bon n 45139641	432000
août-23	Blue	Labo/R&D	641	Depenses Labo/R&D Bon n 45139641	720000
août-23	Blue	Logistique	641	Depenses Logistique Bon n 45139641	144000
août-23	Blue	Production	641	Depenses Production Bon n 45139641	360000
août-23	Blue	SAV	641	Depenses SAV Bon n 45139641	15840
sept.-23	Blue	Achats	641	Depenses Achats Bon n 45170641	432000
sept.-23	Blue	Labo/R&D	641	Depenses Labo/R&D Bon n 45170641	720000
sept.-23	Blue	Logistique	641	Depenses Logistique Bon n 45170641	144000
sept.-23	Blue	Production	641	Depenses Production Bon n 45170641	360000
sept.-23	Blue	SAV	641	Depenses SAV Bon n 45170641	15840
oct.-23	Blue	Achats	641	Depenses Achats Bon n 45200641	432000
oct.-23	Blue	Labo/R&D	641	Depenses Labo/R&D Bon n 45200641	720000
oct.-23	Blue	Logistique	641	Depenses Logistique Bon n 45200641	144000
oct.-23	Blue	Production	641	Depenses Production Bon n 45200641	360000
oct.-23	Blue	SAV	641	Depenses SAV Bon n 45200641	15840
nov.-23	Blue	Achats	641	Depenses Achats Bon n 45231641	432000
