Date	Societe	Centre de couts	Nature comptable	Libelle de l'operation	Montant
janv.-21	Blue	Achats	641	Depenses Achats Bon n 44197641	300000
janv.-21	Blue	Labo/R&D	641	Depenses Labo/R&D Bon n 44197641	500000
janv.-21	Blue	Logistique	641	Depenses Logistique Bon n 44197641	100000
janv.-21	Blue	Production	641	Depenses Production Bon n 44197641	250000
janv.-21	Blue	SAV	641	Depenses SAV Bon n 44197641	11000
févr.-21	Blue	Achats	641	Depenses Achats Bon n 44228641	300000
févr.-21	Blue	Labo/R&D	641	Depenses Labo/R&D Bon n 44228641	500000
févr.-21	Blue	Logistique	641	Depenses Logistique Bon n 44228641	100000
févr.-21	Blue	Production	641	Depenses Production Bon n 44228641	250000
févr.-21	Blue	SAV	641	Depenses SAV Bon n 44228641	11000
mars-21	Blue	Achats	641	Depenses Achats Bon n 44256641	300000
mars-21	Blue	Labo/R&D	641	Depenses Labo/R&D Bon n 44256641	500000
mars-21	Blue	Logistique	641	Depenses Logistique Bon n 44256641	100000
mars-21	Blue	Production	641	Depenses Production Bon n 44256641	250000
mars-21	Blue	SAV	641	Depenses SAV Bon n 44256641	11000
avr.-21	Blue	Achats	641	Depenses Achats Bon n 44287641	300000
avr.-21	Blue	Labo/R&D	641	Depenses Labo/R&D Bon n 44287641	500000
avr.-21	Blue	Logistique	641	Depenses Logistique Bon n 44287641	100000
avr.-21	Blue	Production	641	Depenses Production Bon n 44287641	250000
avr.-21	Blue	SAV	641	Depenses SAV Bon n 44287641	11000
mai-21	Blue	Achats	641	Depenses Achats Bon n 44317641	300000
mai-21	Blue	Labo/R&D	641	Depenses Labo/R&D Bon n 44317641	500000
mai-21	Blue	Logistique	641	Depenses Logistique Bon n 44317641	100000
mai-21	Blue	Production	641	Depenses Production Bon n 44317641	250000
mai-21	Blue	SAV	641	Depenses SAV Bon n 44317641	11000
juin-21	Blue	Achats	641	Depenses Achats Bon n 44348641	300000
juin-21	Blue	Labo/R&D	641	Depenses Labo/R&D Bon n 44348641	500000
juin-21	Blue	Logistique	641	Depenses Logistique Bon n 44348641	100000
juin-21	Blue	Production	641	Depenses Production Bon n 44348641	250000
juin-21	Blue	SAV	641	Depenses SAV Bon n 44348641	11000
juil.-21	Blue	Achats	641	Depenses Achats Bon n 44378641	300000
juil.-21	Blue	Labo/R&D	641	Depenses Labo/R&D Bon n 44378641	500000
juil.-21	Blue	Logistique	641	Depenses Logistique Bon n 44378641	100000
juil.-21	Blue	Production	641	Depenses Production Bon n 44378641	250000
juil.-21	Blue	SAV	641	Depenses SAV Bon n 44378641	11000
août-21	Blue	Achats	641	Depenses Achats Bon n 44409641	300000
août-21	Blue	Labo/R&D	641	Depenses Labo/R&D Bon n 44409641	500000
août-21	Blue	Logistique	641	Depenses Logistique Bon n 44409641	100000
août-21	Blue	Production	641	Depenses Production Bon n 44409641	250000
août-21	Blue	SAV	641	Depenses SAV Bon n 44409641	11000
sept.-21	Blue	Achats	641	Depenses Achats Bon n 44440641	300000
sept.-21	Blue	Labo/R&D	641	Depenses Labo/R&D Bon n 44440641	500000
